age,Pstatus,Medu,Fedu,traveltime,studytime,schoolsup,famsup,activities,romantic,Walc,health,absences,G3
17,1,4,3,1,2,0,0,0,1,4,1,22,4
17,1,3,2,1,1,0,1,1,0,4,5,16,5
17,1,1,2,1,1,0,0,1,0,3,1,14,5
18,1,4,2,2,1,0,0,0,0,3,3,14,5
16,1,4,4,1,1,1,1,1,0,5,4,14,5
16,1,3,4,1,2,0,1,0,0,2,3,12,5
18,1,3,3,1,2,0,1,0,1,3,5,8,5
15,1,1,1,1,2,1,1,0,1,4,5,2,5
15,1,3,2,2,2,1,1,0,0,1,2,26,6
17,1,2,2,1,1,0,1,0,0,2,3,18,6
16,1,1,1,2,2,0,1,0,0,1,5,18,6
15,1,3,2,1,2,0,1,0,0,1,5,10,6
15,0,4,3,1,2,1,1,1,1,1,5,8,6
18,1,4,4,3,1,0,1,1,1,2,5,7,6
17,0,4,4,2,2,1,1,0,0,1,1,6,6
18,0,4,4,2,2,1,0,0,0,1,3,6,6
17,1,1,1,1,2,0,1,0,0,1,3,4,6
17,1,3,3,1,2,0,0,1,0,4,4,4,6
16,1,3,1,1,2,1,1,0,0,3,2,4,6
16,1,3,1,1,4,1,1,0,0,2,5,4,6
16,1,2,2,1,2,0,1,0,0,2,2,4,6
17,1,2,1,2,2,0,1,1,0,2,5,2,6
15,1,2,3,2,1,0,1,1,0,1,5,0,6
16,0,4,4,1,2,0,1,0,0,5,5,18,7
18,1,3,1,1,2,0,0,1,1,1,4,16,7
17,1,4,3,2,3,0,1,1,1,1,4,6,7
15,1,3,2,2,2,1,1,0,1,4,3,6,7
18,1,2,1,2,1,0,0,1,1,3,5,5,7
16,0,3,1,1,2,0,1,0,0,2,4,5,7
21,1,1,1,1,1,0,0,0,0,3,3,3,7
15,1,4,4,1,2,1,1,1,0,1,3,2,7
17,1,1,1,4,2,0,0,1,1,5,5,0,7
17,1,3,3,1,2,0,1,1,1,3,1,56,8
19,1,4,4,2,1,0,1,0,1,1,4,38,8
17,0,4,1,2,1,0,0,1,1,4,5,30,8
17,1,1,3,3,2,0,1,1,0,4,5,20,8
22,1,3,1,1,1,0,0,0,1,5,1,16,8
18,1,2,2,1,2,0,1,1,0,4,5,15,8
18,1,4,4,1,2,1,1,1,1,1,4,15,8
16,1,2,2,1,1,0,1,0,0,3,5,14,8
18,1,3,3,1,2,0,1,0,0,4,4,13,8
17,1,1,2,2,2,0,0,1,0,5,5,12,8
16,1,4,3,1,2,0,1,1,0,3,3,10,8
19,1,3,3,1,4,0,1,1,0,2,3,10,8
18,1,4,3,2,2,0,1,0,1,2,2,10,8
19,1,1,1,3,2,0,0,0,0,3,2,8,8
15,1,2,2,1,4,1,1,0,0,1,3,8,8
18,1,1,3,1,1,0,0,0,1,3,3,7,8
15,1,4,4,2,2,0,0,0,1,3,5,6,8
19,1,1,1,3,1,0,1,0,0,3,5,4,8
18,1,2,1,1,1,0,0,0,0,5,5,4,8
17,1,2,3,2,1,0,1,0,0,4,3,3,8
15,1,2,3,1,2,1,0,1,0,1,1,2,8
18,1,4,3,1,2,0,1,0,0,1,3,2,8
18,1,2,2,1,4,0,1,1,0,4,5,2,8
15,1,2,4,1,3,1,1,1,0,1,5,2,8
15,1,2,2,2,2,1,1,0,0,3,4,2,8
17,1,1,1,2,1,0,1,1,0,2,5,2,8
16,1,3,3,1,3,0,1,0,1,3,4,0,8
16,1,2,2,1,2,0,0,0,1,1,5,0,8
18,1,3,2,2,1,0,0,0,0,4,5,0,8
16,1,4,3,1,3,1,1,0,0,1,3,0,8
