age,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,activities,romantic,Walc,health,absences,G1,G2,G3
18,0,4,4,2,2,0,1,0,0,0,1,3,6,5,6,D
17,1,1,1,1,2,0,0,1,0,0,1,3,4,5,5,D
15,1,1,1,1,2,3,1,0,0,0,3,3,10,7,8,C
15,1,4,2,1,3,0,0,1,1,1,1,5,2,15,14,B
16,1,3,3,1,2,0,0,1,0,0,2,5,4,6,10,C
16,1,4,3,1,2,0,0,1,1,0,2,5,10,15,15,B
16,1,2,2,1,2,0,0,0,0,0,1,3,0,12,12,C
17,0,4,4,2,2,0,1,1,0,0,1,1,6,6,5,D
15,0,3,2,1,2,0,0,1,0,0,1,1,0,16,18,A
15,1,3,4,1,2,0,0,1,1,0,1,5,0,14,15,B
15,1,4,4,1,2,0,0,1,0,0,2,2,0,10,8,C
15,1,2,1,3,3,0,0,1,1,0,1,4,4,10,12,C
15,1,4,4,1,1,0,0,1,1,0,3,5,2,14,14,B
15,1,4,3,2,2,0,0,1,0,0,2,3,2,10,10,C
15,0,2,2,1,3,0,0,1,0,1,1,3,0,14,16,B
16,1,4,4,1,1,0,0,1,0,0,2,2,4,14,14,B
16,1,4,4,1,3,0,0,1,1,0,2,2,6,13,14,B
16,1,3,3,3,2,0,1,1,1,0,1,4,4,8,10,C
17,1,3,2,1,1,3,0,1,1,0,4,5,16,6,5,D
16,1,4,3,1,1,0,0,0,1,0,3,5,4,8,10,C
15,1,4,3,1,2,0,0,0,0,0,1,1,0,13,14,B
15,1,4,4,1,1,0,0,1,0,0,1,5,0,12,15,B
16,1,4,2,1,2,0,0,0,1,0,3,5,2,15,15,B
16,1,2,2,2,2,0,0,1,1,0,4,5,0,13,13,C
15,1,2,4,1,3,0,1,1,1,0,1,5,2,10,9,D
16,1,2,2,1,1,2,0,1,0,0,3,5,14,6,9,D
15,1,2,2,1,1,0,0,1,0,0,2,5,2,12,12,C
15,1,4,2,1,1,0,0,0,0,0,4,1,4,15,16,B
16,0,3,4,1,2,0,1,1,1,0,1,5,4,11,11,C
16,1,4,4,1,2,0,0,1,1,1,5,5,16,10,12,C
15,1,4,4,1,2,0,0,1,0,0,4,5,0,9,11,C
15,1,4,4,2,2,0,0,1,1,0,1,5,0,17,16,A
15,1,4,3,1,2,0,0,1,1,1,1,5,0,17,16,B
15,1,3,3,1,2,0,0,0,1,0,1,2,0,8,10,C
16,1,3,2,1,1,0,0,1,0,0,1,5,0,12,14,B
15,1,2,3,2,1,0,0,1,1,0,1,5,0,8,7,D
15,1,4,3,1,3,0,0,1,1,0,1,4,2,15,16,A
16,0,4,4,2,3,0,0,1,1,1,1,5,7,15,16,B
15,1,3,4,1,3,0,1,1,1,0,1,5,2,12,12,C
15,1,2,2,1,1,0,1,1,1,0,1,2,8,14,13,B
16,1,2,2,2,2,1,0,1,1,1,2,3,25,7,10,C
15,1,4,4,1,1,0,0,1,0,1,4,5,8,12,12,C
15,1,4,4,1,2,0,0,1,1,0,1,5,2,19,18,A
15,1,2,2,1,1,0,1,1,0,0,1,1,0,8,8,C
16,1,2,2,2,2,1,1,0,1,0,2,5,14,10,10,C
15,0,4,3,1,2,0,1,1,1,1,1,5,8,8,8,D
16,0,3,3,1,2,0,0,1,0,0,4,3,12,11,12,C
16,1,4,3,1,4,0,0,0,1,0,1,2,4,19,19,A
15,1,4,2,1,2,0,0,1,0,0,2,5,2,15,15,B
15,1,4,4,1,2,1,1,1,1,0,1,3,2,7,7,D
16,1,2,2,3,2,0,0,1,0,0,3,4,2,12,13,B
15,1,4,2,1,2,0,0,1,0,0,1,5,2,11,13,B
15,0,4,2,2,1,1,0,0,0,0,4,5,6,11,11,C
15,1,4,4,1,1,0,1,1,0,0,3,5,0,8,10,C
15,0,3,3,1,1,0,0,0,0,0,4,1,6,10,13,B
16,0,2,1,1,2,0,0,0,1,1,1,2,8,8,9,C
15,0,4,3,1,2,0,0,1,1,0,1,1,0,14,15,B
15,1,4,4,1,2,0,0,1,1,0,1,5,4,14,15,B
15,1,1,2,1,2,0,1,1,1,0,1,5,2,9,10,C
16,1,4,2,1,2,0,0,1,0,0,1,5,2,15,16,B
16,1,4,4,1,2,0,0,1,1,0,3,4,6,10,11,C
16,1,1,1,4,1,0,1,1,1,1,5,5,6,10,8,C
16,1,1,2,1,2,0,1,0,1,0,1,1,4,8,10,C
16,1,4,3,1,3,0,1,1,1,0,4,4,2,10,9,C
15,1,4,3,1,2,0,1,0,1,1,4,2,0,10,10,C
16,1,4,3,3,2,0,0,1,1,0,2,1,2,16,15,B
15,0,4,4,1,4,0,0,1,1,1,5,3,4,13,13,C
16,1,3,1,1,4,0,1,1,0,0,2,5,4,7,7,D
15,1,2,2,2,2,0,1,1,0,0,3,4,2,8,9,D
15,1,3,1,2,4,0,0,1,0,0,3,3,12,16,16,B
16,1,3,1,2,4,0,0,1,0,0,1,5,0,13,15,B
15,1,4,2,1,4,0,0,0,0,0,1,3,0,10,10,C
15,1,1,1,1,2,2,1,1,0,1,4,5,2,8,6,D
16,1,3,1,1,1,0,0,0,1,0,2,5,2,12,12,B
16,1,3,3,1,2,0,1,1,1,0,4,5,54,11,12,C
15,1,4,3,1,2,0,0,1,1,0,3,5,6,9,9,C
15,1,4,0,2,4,0,0,0,1,0,1,1,8,11,11,C
16,1,2,2,1,4,0,0,0,0,1,3,3,0,11,11,C
17,1,2,1,2,1,3,1,1,1,0,1,3,2,8,8,C
16,1,3,4,1,2,0,0,1,0,0,2,3,12,5,5,D
15,1,2,3,1,1,0,1,1,1,1,3,3,2,10,12,C
15,1,2,3,1,3,0,1,0,0,0,2,5,4,11,10,C
15,1,3,2,1,2,0,0,1,0,0,1,5,10,7,6,D
15,1,2,2,2,2,0,0,0,1,0,3,4,4,15,15,B
15,1,1,1,1,2,0,0,1,1,0,3,4,2,9,10,C
15,1,4,4,2,2,2,0,0,0,1,3,5,6,7,9,D
16,1,2,2,1,2,0,0,1,0,0,2,2,4,8,7,D
15,1,4,2,1,3,0,0,1,1,0,3,1,4,13,14,B
16,1,2,2,2,2,1,0,0,1,0,1,3,12,11,10,C
16,0,4,4,1,2,0,0,1,0,0,5,5,18,8,6,D
16,1,3,3,1,3,0,0,1,0,1,3,4,0,7,7,D
15,1,4,3,1,1,0,0,0,1,0,3,1,4,16,17,A
16,1,3,1,1,2,0,1,1,0,0,3,2,4,7,6,D
16,1,4,2,2,2,0,0,1,1,0,1,1,0,11,10,C
15,1,2,2,1,4,0,0,1,1,0,1,4,6,11,13,B
15,1,1,1,2,4,1,1,1,1,0,1,1,2,7,10,C
16,1,4,3,2,1,0,1,1,1,0,1,4,2,11,15,B
16,1,2,1,1,2,0,0,1,0,1,1,5,2,8,9,C
16,1,4,4,1,1,0,0,0,1,0,2,1,6,11,14,B
16,1,4,3,1,3,0,1,1,0,0,1,3,0,7,9,D
16,1,4,4,1,1,0,1,1,1,0,5,4,14,7,7,D
16,1,4,4,1,3,0,0,1,1,1,1,4,0,16,17,A
15,1,4,4,1,1,0,0,1,1,0,1,5,4,10,13,B
15,1,3,2,2,2,0,1,1,0,0,1,2,26,7,6,D
15,0,3,4,1,2,0,0,1,1,0,1,1,0,16,18,A
15,0,3,3,1,4,0,1,0,0,0,1,4,10,10,11,C
15,1,2,2,1,4,0,1,1,0,0,1,3,8,7,8,D
16,1,3,3,1,3,0,0,1,1,0,1,5,2,16,18,A
15,1,4,4,4,4,0,0,1,1,1,5,1,6,10,13,B
16,1,4,4,1,3,0,0,1,1,1,1,4,4,14,15,B
15,0,4,4,1,1,0,0,0,1,0,1,4,6,18,19,A
16,1,3,3,1,3,1,1,1,1,0,1,2,0,7,10,C
16,1,2,2,1,2,1,1,0,1,0,1,5,6,10,13,B
15,1,4,2,1,1,0,0,0,0,0,1,3,10,18,19,A
15,1,2,1,1,2,0,0,0,1,1,1,5,8,9,9,C
16,1,4,4,1,2,0,0,1,1,0,2,5,2,15,15,B
15,1,4,4,2,2,0,0,1,1,0,1,2,2,11,13,B
16,1,3,3,2,1,0,0,0,1,0,1,5,0,13,14,B
17,1,1,3,3,2,1,0,1,1,0,4,5,20,9,7,D
15,1,3,4,1,1,0,0,0,0,0,2,4,6,14,13,B
